,Date,Host,Result,Guest,Status,Season
210,05.02.2020,Lazio,0 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020
211,22.12.2019,Sassuolo,1 : 2,Napoli,Завершен,italy-serie-a-2019-2020
212,22.12.2019,Lecce,2 : 3,Bologna,Завершен,italy-serie-a-2019-2020
213,22.12.2019,Parma,1 : 1,Brescia,Завершен,italy-serie-a-2019-2020
214,22.12.2019,Atalanta,5 : 0,Milan,Завершен,italy-serie-a-2019-2020
215,21.12.2019,Torino,1 : 2,SPAL,Завершен,italy-serie-a-2019-2020
216,21.12.2019,Inter,4 : 0,Genoa,Завершен,italy-serie-a-2019-2020
217,21.12.2019,Udinese,2 : 1,Cagliari,Завершен,italy-serie-a-2019-2020
218,20.12.2019,Fiorentina,1 : 4,Roma,Завершен,italy-serie-a-2019-2020
219,18.12.2019,Sampdoria,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020
220,16.12.2019,Cagliari,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020
221,15.12.2019,Fiorentina,1 : 1,Inter,Завершен,italy-serie-a-2019-2020
222,15.12.2019,Roma,3 : 1,SPAL,Завершен,italy-serie-a-2019-2020
223,15.12.2019,Bologna,2 : 1,Atalanta,Завершен,italy-serie-a-2019-2020
224,15.12.2019,Juventus,3 : 1,Udinese,Завершен,italy-serie-a-2019-2020
225,15.12.2019,Milan,0 : 0,Sassuolo,Завершен,italy-serie-a-2019-2020
226,15.12.2019,Hellas Verona,3 : 3,Torino,Завершен,italy-serie-a-2019-2020
227,14.12.2019,Genoa,0 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020
228,14.12.2019,Napoli,1 : 2,Parma,Завершен,italy-serie-a-2019-2020
229,14.12.2019,Brescia,3 : 0,Lecce,Завершен,italy-serie-a-2019-2020
230,08.12.2019,Bologna,2 : 3,Milan,Завершен,italy-serie-a-2019-2020
231,08.12.2019,Sampdoria,0 : 1,Parma,Завершен,italy-serie-a-2019-2020
232,08.12.2019,Sassuolo,2 : 2,Cagliari,Завершен,italy-serie-a-2019-2020
233,08.12.2019,SPAL,0 : 1,Brescia,Завершен,italy-serie-a-2019-2020
234,08.12.2019,Torino,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020
235,08.12.2019,Lecce,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020
236,07.12.2019,Lazio,3 : 1,Juventus,Завершен,italy-serie-a-2019-2020
237,07.12.2019,Udinese,1 : 1,Napoli,Завершен,italy-serie-a-2019-2020
238,07.12.2019,Atalanta,3 : 2,Hellas Verona,Завершен,italy-serie-a-2019-2020
239,06.12.2019,Inter,0 : 0,Roma,Завершен,italy-serie-a-2019-2020
