,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
67,67,11.07.2020,Juventus,2 : 2,Atalanta,Завершен,italy-serie-a-2019-2020,6.26,7.34,6.18,6.53,0.14695077149155034,0.1882693700217234,58.16,57.63
68,68,11.07.2020,Brescia,0 : 3,Roma,Завершен,italy-serie-a-2019-2020,3.68,5.71,4.21,7.03,0.11138613861386139,0.14992503748125938,40.05,53.03
69,69,11.07.2020,Lazio,1 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020,5.95,5.29,5.74,5.45,0.18229166666666669,0.16869728209934395,50.45,57.71
70,70,09.07.2020,Hellas Verona,2 : 2,Inter,Завершен,italy-serie-a-2019-2020,4.45,6.18,5.45,6.18,0.14134275618374556,0.17170891251022077,49.68,54.21
71,71,09.07.2020,SPAL,0 : 3,Udinese,Завершен,italy-serie-a-2019-2020,3.34,3.92,4.16,5.26,0.07179487179487179,0.10559662090813093,46.55,44.66
72,72,08.07.2020,Torino,3 : 1,Brescia,Завершен,italy-serie-a-2019-2020,3.89,3.68,4.74,4.21,0.13303769401330376,0.11138613861386139,47.45,40.05
73,73,08.07.2020,Roma,2 : 1,Parma,Завершен,italy-serie-a-2019-2020,5.71,4.11,7.03,4.39,0.14992503748125938,0.15739769150052466,53.03,43.63
74,74,08.07.2020,Atalanta,2 : 0,Sampdoria,Завершен,italy-serie-a-2019-2020,7.34,4.66,6.53,5.13,0.1882693700217234,0.11423550087873462,57.63,42.53
75,75,08.07.2020,Bologna,1 : 2,Sassuolo,Завершен,italy-serie-a-2019-2020,4.53,5.29,6.0,5.45,0.1269265639165911,0.16869728209934395,52.87,57.71
76,76,08.07.2020,Fiorentina,0 : 0,Cagliari,Завершен,italy-serie-a-2019-2020,5.08,4.05,5.5,4.05,0.12404580152671756,0.15283842794759825,47.53,45.37
77,77,08.07.2020,Genoa,1 : 2,Napoli,Завершен,italy-serie-a-2019-2020,4.13,6.21,4.37,5.84,0.13921113689095127,0.11976047904191618,49.37,59.32
78,78,07.07.2020,Milan,4 : 2,Juventus,Завершен,italy-serie-a-2019-2020,5.21,6.26,5.47,6.18,0.13385826771653545,0.14695077149155034,55.24,58.16
79,79,07.07.2020,Lecce,2 : 1,Lazio,Завершен,italy-serie-a-2019-2020,4.58,5.95,4.79,5.74,0.13888888888888887,0.18229166666666669,44.58,50.45
80,80,05.07.2020,Napoli,2 : 1,Roma,Завершен,italy-serie-a-2019-2020,6.21,5.71,5.84,7.03,0.11976047904191618,0.14992503748125938,59.32,53.03
81,81,05.07.2020,Cagliari,0 : 1,Atalanta,Завершен,italy-serie-a-2019-2020,4.05,7.34,4.05,6.53,0.15283842794759825,0.1882693700217234,45.37,57.63
82,82,05.07.2020,Parma,1 : 2,Fiorentina,Завершен,italy-serie-a-2019-2020,4.11,5.08,4.39,5.5,0.15739769150052466,0.12404580152671756,43.63,47.53
83,83,05.07.2020,Udinese,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020,3.92,4.13,5.26,4.37,0.10559662090813093,0.13921113689095127,44.66,49.37
